Item Name,Qty,Price (total) (USD),Item link,Notes
esp32,1,$0.00,,i already have it
dc barrel jack ,1,$0.00,,i already have it
power supply,1,$0.00,,i already have it
Soldering Iron Kit,1,$10.06,amazon.ca/Soldering-Iron-Kit-Electronics-Temperature/dp/B07BJ1YXRL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.dUz1GcQ-K90ok5vzdktBpe_OSCHkarYZ_7_F3bwsR90x0YwSRwTCI2mdzzEsQ-vCTIZZWlt1Uw17MYZQcJRfa2qs8OQ1ILTU4XpszIr8yfAs1f_kmwWX-ALTBQJKKucMfhpKUtAlc25D8ngJh_MmPrKkjcJOQw-FeB1A2DAe2XpuGsxXFNgma63HaeWeBBxUVFe6ZH9KBkjO2qNtzDUKbBq43oMysBY6xis42Nr9qei5-pTtPU2UaidMZYxUrlaNiJNMmvwoGZBwn5Z-Wu_3mmYkt0ZFTJrZuXY6p-xmGYE.TLZYR41-Pm3ObmoDHBh3Zu8lCBh2bwLPA-nZdI63VIM&dib_tag=se&keywords=soldering+iron&qid=1788122860&refinements=p_36%3A-1500&rnid=12035759011&sr=8-7,
FTVOGUE 12V to 5V Car Voltage Converter,1,$7.07,https://www.amazon.ca/FTVOGUE-Converter-Material-Automotive-Solutions/dp/B0GSCPYRJ2/ref=sr_1_1_sspa?crid=29VF1HIH4L5P2&dib=eyJ2IjoiMSJ9.JPU2uW_rrdK-gDWWtlgCysDBEqx_PUvTkbY6WUfinlj8hMJWTcIstD4jSciGqyZtf-vvAo0JsGsty_SDB9Ay8Rt9zawt8wVXC6N7NJfXER3SNNIqT-B-ag2YC8Pq5DgTMYHpPO2Kcf_Iyp_SaUnu4i66YU6jnKkSVp3rkh55hW5yseQkalShjqj74al9MLQSImwlv1U0J50ZzBymMtMu-dKU6-Vl7uIfTnLszKCMP77gy08RjXxmphbe5TRohBfAObCzikDMeTQs6xm0ctyw7rPwwbPtzeLBPsfR7GACvZ8.m1IcDp9dLU6YKg6VgFo0pEyqDL9GrV6lIOD_1HC4zHA&dib_tag=se&keywords=12v+to+5v&qid=1788123074&refinements=p_36%3A-1000&rnid=12035759011&sprefix=12v+to+5v%2Caps%2C208&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$17.13,,,
